amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Nakhon Luang,นครหลวง,Ayutthaya,14.46417,100.60556,35713,166.9,13260,POINT(100.60556 14.46417)
Mueang Nakhon Nayok,เมืองนครนายก,Nakhon Nayok,14.20361,101.21722,98725,135.6,26000,POINT(101.21722 14.20361)
Mueang Nakhon Pathom,เมืองนครปฐม,Nakhon Pathom,13.81972,100.06583,271391,650.2,73000,POINT(100.06583 13.81972)
Mueang Nakhon Phanom,เมืองนครพนม,Nakhon Phanom,17.36722,104.76056,141997,122.7,48000,POINT(104.76056 17.36722)
Mueang Nakhon Ratchasima,อำเภอเมืองนครราชสีมา,Nakhon Ratchasima,14.97111,102.09972,454647,601,,POINT(102.09972 14.97111)
Mueang Nakhon Sawan,เมืองนครสวรรค์,Nakhon Sawan,15.70500,100.13750,238760,319.1,60000,POINT(100.13750 15.70500)
Mueang Nakhon Si Thammarat,นครศรีธรรมราช,Nakhon Si Thammarat,8.42000,99.96333,266613,431.83,80000,POINT(99.96333 8.42000)
Nakhon Thai,นครไทย,Phitsanulok,17.10083,100.83778,85842,38.7,65120,POINT(100.83778 17.10083)
Na Khu,นาคู,Kalasin,16.78000,104.03167,31510,211.2,46160,POINT(104.03167 16.78000)
Na Klang,นากลาง,Nongbua Lamphu,17.30722,102.18861,90996,159.4,39170,POINT(102.18861 17.30722)
Nam Khun,น้ำขุ่น,Ubon Ratchathani,14.58333,104.92500,30587,81.0,34260,POINT(104.92500 14.58333)
Nam Kliang,น้ำเกลี้ยง,Sisaket,14.92722,104.51306,43339,168.1,33130,POINT(104.51306 14.92722)
Nam Nao,น้ำหนาว,Phetchabun,16.76833,101.67167,15485,25.0,67260,POINT(101.67167 16.76833)
Na Mom,นาหม่อม,Songkhla,6.95833,100.55694,20950,226.6,90310,POINT(100.55694 6.95833)
Na Mon,นามน,Kalasin,16.57528,103.78667,35234,132.6,46230,POINT(103.78667 16.57528)
Nam Pat,น้ำปาด,Uttaradit,17.72833,100.68444,30037,22.8,53150,POINT(100.68444 17.72833)
Nam Phong,น้ำพอง,Khon Kaen,16.70194,102.85667,112414,136.8,40140,POINT(102.85667 16.70194)
Nam Som,น้ำโสม,Udon Thani,17.77056,102.18972,55622,74.9,41210,POINT(102.18972 17.77056)
Na Muen,นาหมื่น,Nan,18.18944,100.65889,14817,19,55180,POINT(100.65889 18.18944)
Nam Yuen,น้ำยืน,Ubon Ratchathani,14.48917,105.00083,67641,79.2,34160,POINT(105.00083 14.48917)
Mueang Nan,เมืองน่าน,Nan,18.79361,100.72944,81481,100,55000,POINT(100.72944 18.79361)
Nang Rong,นางรอง,Buriram,14.62833,102.79333,108143,151.6,31110,POINT(102.79333 14.62833)
Na Noi,นาน้อย,Nan,18.32500,100.71500,32560,23,55150,POINT(100.71500 18.32500)
Na Pho,นาโพธิ์,Buriram,15.64500,102.95167,33135,129.9,31230,POINT(102.95167 15.64500)
Mueang Narathiwat,เมืองนราธิวาส,Narathiwat,6.42611,101.82306,108644,356.1,96000,POINT(101.82306 6.42611)
Na Tan,นาตาล,Ubon Ratchathani,15.90500,105.27667,34735,181.0,34170,POINT(105.27667 15.90500)
Na Thawi,นาทวี,Songkhla,6.74167,100.69167,58675,78.5,90160,POINT(100.69167 6.74167)
Na Thom,นาทม,Nakhon Phanom,17.78528,104.09056,21930,55.1,48140,POINT(104.09056 17.78528)
Na Wa,นาหว้า,Nakhon Phanom,17.48944,104.10139,44661,85.4,48180,POINT(104.10139 17.48944)
Na Wang,นาวัง,Nongbua Lamphu,17.32278,102.07250,37316,114.3,42170,POINT(102.07250 17.32278)
Na Yai Am,นายายอาม,Chanthaburi,12.77000,101.85500,32108,107.0,22160,POINT(101.85500 12.77000)
Na Yia,นาเยีย,Ubon Ratchathani,15.05944,105.06028,24970,110.0,34160,POINT(105.06028 15.05944)
Na Yong,นาโยง,Trang,7.56167,99.69500,42294,256.2,92170,POINT(99.69500 7.56167)
Na Yung,นายูง,Udon Thani,17.89667,102.15000,25701,49.0,41380,POINT(102.15000 17.89667)
Ngao,งาว,Lampang,18.77667,99.97000,58813,32.4,52110,POINT(99.97000 18.77667)
Nikhom Kham Soi,นิคมคำสร้อย,Mukdahan,16.371667,104.550556,42225,111.9,49130,POINT(104.550556 16.371667)
Nikhom Nam Un,นิคมน้ำอูน,Sakon Nakhon,17.18306,103.71861,13696,84.5,47270,POINT(103.71861 17.18306)
Nikhom Phatthana,นิคมพัฒนา,Rayong,12.83139,101.20806,32482,136.8,21180,POINT(101.20806 12.83139)
Noen Kham,เนินขาม,Chainat,14.96222,99.91167,17371,64.6,17130,POINT(99.91167 14.96222)
Noen Maprang,เนินมะปราง,Phitsanulok,16.56833,100.63556,58689,57.0,65190,POINT(100.63556 16.56833)
Noen Sa-nga,เนินสง่า,Chaiyaphum,15.56417,102.00167,24125,108.7,36130,POINT(102.00167 15.56417)
Non Daeng,โนนแดง,Nakhon Ratchasima,15.41083,102.54028,25468,136.5,30360,POINT(102.54028 15.41083)
Non Din Daeng,โนนดินแดง,Buriram,14.31583,102.74361,26073,58.2,31260,POINT(102.74361 14.31583)
Nong Bua,หนองบัว,Nakhon Sawan,15.86500,100.58611,70609,86.2,60110,POINT(100.58611 15.86500)
Nong Bua Daeng,หนองบัวแดง,Chaiyaphum,16.08167,101.80333,92766,41.9,36210,POINT(101.80333 16.08167)
Nong Bua Lam Phu,หนองบัวลำภู,Nongbua Lamphu,17.204167,102.444444,130092,143.3,39000,POINT(102.444444 17.204167)
Nong Bua Rawe,หนองบัวระเหว,Chaiyaphum,15.74861,101.75944,36371,43.2,36250,POINT(101.75944 15.74861)
Nong Bun Mak,หนองบุญมาก,Nakhon Ratchasima,14.73972,102.36583,56287,100.0,30410,POINT(102.36583 14.73972)
Nong Chang,หนองฉาง,Uthai Thani,15.39139,99.84139,44366,131.4,61110,POINT(99.84139 15.39139)
Nong Chik,หนองจิก,Pattani,6.84444,101.17861,69510,296.6,94170,POINT(101.17861 6.84444)
Nong Chok,หนองจอก,Krung Thep Maha Nakhon,13.85556,100.86250,117385,497,10530,POINT(100.86250 13.85556)
Nong Don,หนองโดน,Saraburi,14.68111,100.70833,13876,157.5,18190,POINT(100.70833 14.68111)
Nong Han,หนองหาน,Udon Thani,17.36056,103.10556,114982,162.4,41130,POINT(103.10556 17.36056)
Nong Hi,หนองฮี,Roi Et,15.61028,103.99056,25696,5.14,45140,POINT(103.99056 15.61028)
Nong Hin,หนองหิน,Loei,17.12333,101.85833,23255,53.5,42190,POINT(101.85833 17.12333)
Nong Hong,หนองหงส์,Buriram,14.85000,102.68833,48442,144.6,31240,POINT(102.68833 14.85000)
Nong Khae,หนองแค,Saraburi,14.33917,100.86167,88213,335.5,18140,POINT(100.86167 14.33917)
Nong Khaem,หนองแขม,Krung Thep Maha Nakhon,13.70472,100.34889,125545,3504,10160,POINT(100.34889 13.70472)
Mueang Nong Khai,เมืองหนองคาย,Nong Khai,17.88000,102.74167,145153,235.1,43000,POINT(102.74167 17.88000)
Nong Khayang,หนองขาหย่าง,Uthai Thani,15.36417,99.92917,16369,47.1,61130,POINT(99.92917 15.36417)
Nong Ki,หนองกี่,Buriram,14.68806,102.53389,67658,175.7,31210,POINT(102.53389 14.68806)
Nong Kung Si,หนองกุงศรี,Kalasin,16.65583,103.29389,65521,104.5,46220,POINT(103.29389 16.65583)
Nong Mamong,หนองมะโมง,Chainat,15.27667,99.86667,19330,67.1,17100,POINT(99.86667 15.27667)
Nong Muang,หนองม่วง,Lopburi,15.24722,100.65417,35257,79.1,15170,POINT(100.65417 15.24722)
Nong Muang Khai,หนองม่วงไข่,Phrae,18.26472,100.19000,19302,87.33,54170,POINT(100.19000 18.26472)
Nong Na Kham,หนองนาคำ,Khon Kaen,16.80083,102.34111,23402,147.3,40150,POINT(102.34111 16.80083)
Nong Phai,หนองไผ,Phetchabun,15.99028,101.06250,115832,85.2,67140,POINT(101.06250 15.99028)
Nong Phok,หนองพอก,Roi Et,16.30972,104.20306,64646,107.8,45210,POINT(104.20306 16.30972)
Nong Prue,หนองปรือ,Kanchanaburi,14.61139,99.45028,29703,59.1,71220,POINT(99.45028 14.61139)
