amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Pho Sai,โพธิ์ไทร,Ubon Ratchathani,15.82583,105.26083,42142,140.0,34340,POINT(105.26083 15.82583)
Pho Si Suwan,โพธิ์ศรีสุวรรณ,Sisaket,15.23167,104.07667,23519,211.7,33120,POINT(104.07667 15.23167)
Pho Tak,โพธิ์ตาก,Nong Khai,17.87667,102.41000,14886,145.2,43130,POINT(102.41000 17.87667)
Pho Thale,โพทะเล,Phichit,16.07500,100.30333,60781,127.1,66130,POINT(100.30333 16.07500)
Photharam,โพธาราม,Ratchaburi,13.69222,99.85361,128434,308.0,70120,POINT(99.85361 13.69222)
Pho Thong,โพธิ์ทอง,Ang Thong,14.66694,100.40806,53135,242.2,14120,POINT(100.40806 14.66694)
Mueang Phrae,เมืองแพร่,Phrae,18.14556,100.14139,123811,163.7,54000,POINT(100.14139 18.14556)
Phrai Bueng,ไพรบึง,Sisaket,14.74833,104.36167,47725,191.82,33180,POINT(104.36167 14.74833)
Phra Khanong,พระโขนง,Krung Thep Maha Nakhon,13.70222,100.60167,98957,7075,10260,POINT(100.60167 13.70222)
Phra Nakhon,พระนคร,Krung Thep Maha Nakhon,13.76444,100.49917,61374,11158.9,10200,POINT(100.49917 13.76444)
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Ayutthaya,14.35222,100.57667,136467,1053.13,13000,POINT(100.57667 14.35222)
Phran Kratai,พรานกระต่าย,Kamphaeng Phet,16.66472,99.58861,68529,87.6,62110,POINT(99.58861 16.66472)
Phrao,พร้าว,Chiang Mai,19.36583,99.20222,52222,45.5,50190,POINT(99.20222 19.36583)
Phra Phrom,พระพรหม,Nakhon Si Thammarat,8.33833,99.90167,41774,282.3,80000,POINT(99.90167 8.33833)
Phra Phutthabat,พระพุทธบาท,Saraburi,14.72556,100.79528,70.354,245.1,18120,POINT(100.79528 14.72556)
Phra Pradaeng,พระประแดง,Samut Prakan,13.65833,100.53389,207141,2822,10130,POINT(100.53389 13.65833)
Phrasaeng,พระแสง,Surat Thani,8.56833,99.24833,63774,63.7,84210,POINT(99.24833 8.56833)
Phra Samut Chedi,พระสมุทรเจดีย์,Samut Prakan,13.56861,100.56167,100022,830.9,10290,POINT(100.56167 13.56861)
Phra Thong Kham,พระทองคำ,Nakhon Ratchasima,15.30667,101.98167,44232,123.0,30220,POINT(101.98167 15.30667)
Phra Yuen,พระยืน,Khon Kaen,16.32389,102.64861,34064,198.0,40320,POINT(102.64861 16.32389)
Phrom Buri,พรหมบุรี,Singburi,14.79111,100.45361,24306,294.6,16120,POINT(100.45361 14.79111)
Phrom Khiri,พรหมคีรี,Nakhon Si Thammarat,8.52167,99.82500,36906,114.79,80320,POINT(99.82500 8.52167)
Phrom Phiram,พรหมพิราม,Phitsanulok,17.03333,100.20194,89163,107.8,65150,POINT(100.20194 17.03333)
Phu Kamyao,ภูกามยาว,Phayao,19.27167,99.97000,22659,106.0,56000,POINT(99.97000 19.27167)
Mueang Phuket,เมืองภูเก็ต,Phuket,7.89000,98.38500,196733,878.3,83000,POINT(98.38500 7.89000)
Phu Khiao,ภูเขียว,Chaiyaphum,16.37639,102.12861,120792,150.7,36110,POINT(102.12861 16.37639)
Phu Kradueng,ภูกระดึง,Loei,16.88417,101.88444,33438,47.2,42180,POINT(101.88444 16.88417)
Phu Luang,ภูหลวง,Loei,17.14000,101.66500,23069,38.8,42230,POINT(101.66500 17.14000)
Phunphin,พุนพิน,Surat Thani,9.10972,99.23194,89908,72.8,84130,POINT(99.23194 9.10972)
Phu Pha Man,ภูผาม่าน,Khon Kaen,16.64500,101.90389,22229,78.1,40350,POINT(101.90389 16.64500)
Phu Phan,ภูพาน,Sakon Nakhon,17.00000,103.96556,36050,64.5,47180,POINT(103.96556 17.00000)
Phu Phiang,ภูเพียง,Nan,18.74278,100.79917,35535,70,55000,POINT(100.79917 18.74278)
Phu Ruea,ภูเรือ,Loei,17.45500,101.36333,21182,23.5,42160,POINT(101.36333 17.45500)
Phu Sang,ภูซาง,Phayao,19.59917,100.32417,31407,107.0,56110,POINT(100.32417 19.59917)
Phu Sing,ภูสิงห์,Sisaket,14.54667,104.13167,50585,53.8,33140,POINT(104.13167 14.54667)
Phutthaisong,พุทไธสง,Buriram,15.54833,103.02500,46367,157.9,31120,POINT(103.02500 15.54833)
Phutthamonthon,พุทธมณฑล,Nakhon Pathom,13.80194,100.32167,28275,541,73170,POINT(100.32167 13.80194)
Phu Wiang,ภูเวียง,Khon Kaen,16.65444,102.37694,71597,115.1,40150,POINT(102.37694 16.65444)
Plaeng Yao,แปลงยาว,Chachoengsao,13.58472,101.28417,36607,154.3,24190,POINT(101.28417 13.58472)
Plai Phraya,ปลายพระยา,Krabi,8.53333,98.86278,35434,81.8,81160,POINT(98.86278 8.53333)
Pla Pak,ปลาปาก,Nakhon Phanom,17.18056,104.52611,50955,93.1,48160,POINT(104.52611 17.18056)
Pluak Daeng,ปลวกแดง,Rayong,12.97222,101.21528,34878,146.9,21140,POINT(101.21528 12.97222)
Pom Prap Sattru Phai,ป้อมปราบศัตรูพ่าย,Krung Thep Maha Nakhon,13.75806,100.51306,72040,37307,10100,POINT(100.51306 13.75806)
Pong,ปง,Phayao,19.14833,100.27500,53212,29.8,56140,POINT(100.27500 19.14833)
Pong Nam Ron,โป่งน้ำร้อน,Chanthaburi,12.90583,102.26278,38115,41.1,22140,POINT(102.26278 12.90583)
Prachaksinlapakhom,ประจักษ์ศิลปาคม,Udon Thani,17.27278,102.99417,24693,215.1,41110,POINT(102.99417 17.27278)
Prachantakham,ประจันตคาม,Prachinburi,14.06472,101.51528,52570,58.2,25130,POINT(101.51528 14.06472)
Prachin Buri,ปราจีนบุรี,Prachinburi,14.050556,101.366667,106239,235.1,25000,POINT(101.366667 14.050556)
Mueang Prachuap Khiri Khan,เมืองประจวบคีรีขันธ์,Prachuap Khiri Khan,11.80833,99.79667,90869,109.48,77000,POINT(99.79667 11.80833)
Prakhon Chai,ประโคนชัย,Buriram,14.60667,103.12167,132141,147.3,31140,POINT(103.12167 14.60667)
Pran Buri,ปราณบุรี,Prachuap Khiri Khan,12.39500,99.91667,73634,96.2,77120,POINT(99.91667 12.39500)
Prang Ku,ปรางค์กู่,Sisaket,14.85667,104.04000,68208,238.9,33170,POINT(104.04000 14.85667)
Prasat,ปราสาท,Surin,14.64056,103.40472,153638,169.1,32140,POINT(103.40472 14.64056)
Prathai,ประทาย,Nakhon Ratchasima,15.53333,102.72278,77780,127.7,30180,POINT(102.72278 15.53333)
Prawet,ประเวศ,Krung Thep Maha Nakhon,13.71694,100.69444,134189,2556,10200,POINT(100.69444 13.71694)
Pua,ปัว,Nan,19.17417,100.91667,64263,98,55120,POINT(100.91667 19.17417)
Pueai Noi,เปือยน้อย,Khon Kaen,15.87139,102.90556,19917,114.1,40340,POINT(102.90556 15.87139)
Raman,รามัน,Yala,6.47833,101.42417,85187,142.2,95140,POINT(101.42417 6.47833)
Ra-ngae,ระแงะ,Narathiwat,6.29639,101.72833,144259,331.2,96130,POINT(101.72833 6.29639)
Mueang Ranong,เมืองระนอง,Ranong,9.96722,98.63389,90569,126.9,85000,POINT(98.63389 9.96722)
Ranot,ระโนด,Songkhla,7.76833,100.32333,67551,90.5,90140,POINT(100.32333 7.76833)
Rasi Salai,ราษีไศล,Sisaket,15.34028,104.15389,82333,163.1,33160,POINT(104.15389 15.34028)
Rat Burana,ราษฎร์บูรณะ,Krung Thep Maha Nakhon,13.68222,100.50556,95041,6022,10140,POINT(100.50556 13.68222)
Mueang Ratchaburi,เมืองราชบุรี,Ratchaburi,13.52833,99.81167,183528,426.5,70000,POINT(99.81167 13.52833)
Ratchasan,ราชสาส์น,Chachoengsao,13.78222,101.28167,12733,94.4,24120,POINT(101.28167 13.78222)
Ratchathewi,ราชเทวี,Krung Thep Maha Nakhon,13.75889,100.53444,101892,14299,10400,POINT(100.53444 13.75889)
Ratsada,รัษฎา,Trang,7.97500,99.63333,26381,113.5,92160,POINT(99.63333 7.97500)
Rattanaburi,รัตนบุรี,Surin,15.32028,103.85694,94060,463.8,32130,POINT(103.85694 15.32028)
Rattanawapi,รัตนวาปี,Nong Khai,18.22000,103.18000,36920,181.0,43120,POINT(103.18000 18.22000)
Rattaphum,รัตภูมิ,Songkhla,7.13500,100.27333,67961,114.8,90180,POINT(100.27333 7.13500)
Mueang Rayong,เมืองระยอง,Rayong,12.66833,101.27500,229657,410.3,21000,POINT(101.27500 12.66833)
Renu Nakhon,เรณูนคร,Nakhon Phanom,17.05611,104.67972,45264,178.2,48170,POINT(104.67972 17.05611)
Mueang Roi Et,เมืองร้อยเอ็ด,Roi Et,16.05333,103.65333,153567,311.1,45000,POINT(103.65333 16.05333)
Rong Kham,ร่องคำ,Kalasin,16.26667,103.74056,16444,200.3,46210,POINT(103.74056 16.26667)
Rong Kwang,ร้องกวาง,Phrae,18.33972,100.31750,51016,81.4,54140,POINT(100.31750 18.33972)
Ron Phibun,ร่อนพิบูลย์,Nakhon Si Thammarat,8.18000,99.85500,82754,246.7,80130,POINT(99.85500 8.18000)
Rueso,รือเสาะ,Narathiwat,6.39472,101.51833,62893,134.3,96180,POINT(101.51833 6.39472)
Saba Yoi,สะบ้าย้อย,Songkhla,6.61833,100.95167,63496,74.4,90210,POINT(100.95167 6.61833)
Sa Bot,สระโบสถ์,Lopburi,15.19528,100.84861,21279,698,15240,POINT(100.84861 15.19528)
Sadao,สะเดา,Songkhla,6.63861,100.42389,120306,116.5,90120,POINT(100.42389 6.63861)
Sahatsakhan,สหัสขันธ์,Kalasin,16.71333,103.52000,41536,131.3,46140,POINT(103.52000 16.71333)
Sai Buri,สายบุรี,Pattani,6.70139,101.61750,64260,353.6,94110,POINT(101.61750 6.70139)
Sai Mai,สายไหม,Krung Thep Maha Nakhon,13.91917,100.64583,161749,3625,10220,POINT(100.64583 13.91917)
Sai Mun,ทรายมูล,Yasothon,15.93944,104.20889,31092,114.0,35170,POINT(104.20889 15.93944)
Sai Ngam,ไทรงาม,Kamphaeng Phet,16.47222,99.89667,51183,114.0,62150,POINT(99.89667 16.47222)
Sai Noi,ไทรน้อย,Nonthaburi,13.97889,100.31361,55000,295.7,11150,POINT(100.31361 13.97889)
Sai Thong Watthana,ทรายทองวัฒนา,Kamphaeng Phet,16.31222,99.83111,23971,94.7,62190,POINT(99.83111 16.31222)
Sai Yok,อำเภอไทรโยค,Kanchanaburi,14.11556,99.14444,51692,18.9,71150,POINT(99.14444 14.11556)
Mueang Sa Kaeo,เมืองสระแก้ว,Sa Kaeo,13.81472,102.07194,107092,58.0,27000,POINT(102.07194 13.81472)
Sakhrai,สระใคร,Nong Khai,17.67500,102.75056,25247,119.7,43150,POINT(102.75056 17.67500)
Sak Lek,สากเหล็ก,Phichit,16.50972,100.46944,24376,138.2,66160,POINT(100.46944 16.50972)
Mueang Sakon Nakhon,เมืองสกลนคร,Sakon Nakhon,17.15556,104.13389,188898,184.6,47000,POINT(104.13389 17.15556)
Sam Chai,สามชัย,Kalasin,16.86333,103.53833,25222,45.8,46180,POINT(103.53833 16.86333)
Sam Chuk,สามชุก,Suphanburi,14.75528,100.09472,58223,163.6,72130,POINT(100.09472 14.75528)
Sam Khok,สามโคก,Pathum Thani,14.06528,100.52250,48927,515,12160,POINT(100.52250 14.06528)
Samko,สามโก้,Ang Thong,14.60556,100.24472,17589,202.4,14160,POINT(100.24472 14.60556)
Sam Ngam,สามง่าม,Phichit,16.50889,100.20472,43933,130.4,66140,POINT(100.20472 16.50889)
Sam Ngao,สามเงา,Tak,17.24333,99.02250,32483,11.7,63130,POINT(99.02250 17.24333)
Samoeng,สะเมิง,Chiang Mai,18.84806,98.73250,23236,25.9,50250,POINT(98.73250 18.84806)
Samphanthawong,สัมพันธวงศ์,Krung Thep Maha Nakhon,13.73139,100.51417,35547,25104,10100,POINT(100.51417 13.73139)
Sam Phran,สามพราน,Nakhon Pathom,13.72417,100.21667,171562,688,73110,POINT(100.21667 13.72417)
Sam Roi Yot,สามร้อยยอด,Prachuap Khiri Khan,12.27056,99.87194,47845,54.87,77180,POINT(99.87194 12.27056)
Samrong,สำโรง,Ubon Ratchathani,15.00833,104.78222,51959,124.9,34360,POINT(104.78222 15.00833)
Samrong Thap,สำโรงทาบ,Surin,15.02250,103.93611,52459,139.8,32170,POINT(103.93611 15.02250)
Sam Sung,ซำสูง,Khon Kaen,16.54306,103.07972,23672,202.8,40170,POINT(103.07972 16.54306)
Mueang Samut Prakan,เมืองสมุทรปราการ,Samut Prakan,13.60056,100.59667,460141,2415,10270,POINT(100.59667 13.60056)
Mueang Samut Sakhon,เมืองสมุทรสาคร,Samut Sakhon,13.54833,100.27333,237045,482,74000,POINT(100.27333 13.54833)
Mueang Samut Songkhram,เมืองสมุทรสงคราม,Samut Songkhram,13.41389,100.00333,103559,610.8,75000,POINT(100.00333 13.41389)
Sanam Chai Khet,สนามชัยเขต,Chachoengsao,13.65833,101.43889,69281,41.6,24160,POINT(101.43889 13.65833)
Sangkha,สังขะ,Surin,14.63611,103.85278,126872,124.4,32150,POINT(103.85278 14.63611)
Sangkhla Buri,สังขละบุรี,Kanchanaburi,15.15556,98.45333,40162,12.0,71240,POINT(98.45333 15.15556)
Sangkhom,สังคม,Nong Khai,18.06417,102.27333,22998,51.1,43160,POINT(102.27333 18.06417)
Sang Khom,สร้างคอม,Udon Thani,17.82556,103.08861,28441,99.0,41260,POINT(103.08861 17.82556)
San Kamphaeng,สันกำแพง,Chiang Mai,18.74528,99.12028,73721,372.6,50130,POINT(99.12028 18.74528)
Sankhaburi,สรรคบุรี,Chainat,15.04722,100.16167,67333,192.8,17140,POINT(100.16167 15.04722)
Sanom,สนม,Surin,15.19889,103.76167,45268,223.0,32160,POINT(103.76167 15.19889)
San Pa Tong,สันป่าตอง,Chiang Mai,18.62861,98.89556,75600,431.2,50120,POINT(98.89556 18.62861)
San Sai,สันทราย,Chiang Mai,18.84861,99.04500,105771,371.1,50210,POINT(99.04500 18.84861)
Santi Suk,สันติสุข,Nan,18.91333,100.94139,15695,38,55000,POINT(100.94139 18.91333)
Sao Hai,เสาไห้,Saraburi,14.55028,100.85750,30292,270.9,18160,POINT(100.85750 14.55028)
Saphan Sung,สะพานสูง,Krung Thep Maha Nakhon,13.77000,100.68472,81784,2908,10240,POINT(100.68472 13.77000)
Sapphaya,สรรพยา,Chainat,15.13750,100.24306,44553,195.2,17150,POINT(100.24306 15.13750)
Sap Yai,ซับใหญ่,Chaiyaphum,15.64167,101.63000,13466,78.8,36130,POINT(101.63000 15.64167)
Mueang Saraburi,เมืองสระบุรี,Saraburi,14.52722,100.90972,106107,351.8,18000,POINT(100.90972 14.52722)
Saraphi,สารภี,Chiang Mai,18.71333,99.03639,74782,767.4,50140,POINT(99.03639 18.71333)
Sathing Phra,สทิงพระ,Songkhla,7.47333,100.43833,50089,417.4,90190,POINT(100.43833 7.47333)
Sathon,สาทร,Krung Thep Maha Nakhon,13.70806,100.52639,107159,11490,10120,POINT(100.52639 13.70806)
Sattahip,สัตหีบ,Chonburi,12.66306,100.90556,137599,412.7,20180,POINT(100.90556 12.66306)
Satuek,สตึก,Buriram,15.29750,103.29194,109221,136.0,31150,POINT(103.29194 15.29750)
Mueang Satun,เมืองสตูล,Satun,6.62333,100.06667,101557,115.4,91000,POINT(100.06667 6.62333)
Sawaeng Ha,แสวงหา,Ang Thong,14.75139,100.32472,34734,187.4,14150,POINT(100.32472 14.75139)
Sawang Arom,สว่างอารมณ์,Uthai Thani,15.58389,99.86083,31092,91.1,61150,POINT(99.86083 15.58389)
Sawang Daen Din,สว่างแดนดิน,Sakon Nakhon,17.47500,103.45833,146897,151.4,47110,POINT(103.45833 17.47500)
Sawang Wirawong,สว่างวีรวงศ์,Ubon Ratchathani,15.24139,105.09222,30170,110.0,34190,POINT(105.09222 15.24139)
Sawankhalok,สวรรคโลก,Sukhothai,17.31667,99.83167,87735,151.7,64110,POINT(99.83167 17.31667)
Sawi,สวี,Chumphon,10.25306,99.09444,69340,77.2,86130,POINT(99.09444 10.25306)
Seka,เซกา,Bueng Kan,17.92833,103.95333,83137,82.3,38150,POINT(103.95333 17.92833)
Selaphum,เสลภูมิ,Roi Et,16.03333,103.93389,122100,154.1,45120,POINT(103.93389 16.03333)
Sena,เสนา,Ayutthaya,14.32722,100.40444,64436,313.4,13110,POINT(100.40444 14.32722)
Senangkhanikhom,เสนางคนิคม,Amnat Charoen,16.03833,104.67000,40188,76.4,37290,POINT(104.67000 16.03833)
Si Banphot,ศรีบรรพต,Phatthalung,7.72000,99.88333,16465,75.4,93190,POINT(99.88333 7.72000)
Si Bun Rueang,ศรีบุญเรือง,Nongbua Lamphu,16.96583,102.28000,107804,129.8,39180,POINT(102.28000 16.96583)
Si Chiang Mai,ศรีเชียงใหม่,Nong Khai,17.95639,102.58944,31132,157.2,43130,POINT(102.58944 17.95639)
Si Chomphu,สีชมพู,Khon Kaen,16.80028,102.18778,78220,147.9,40220,POINT(102.18778 16.80028)
Sichon,สิชล,Nakhon Si Thammarat,9.00667,99.90167,83981,119.4,80120,POINT(99.90167 9.00667)
Sida,สีดา,Nakhon Ratchasima,15.54250,102.56583,24540,144.3,30430,POINT(102.56583 15.54250)
Sikao,สิเกา,Trang,7.57167,99.34500,34486,63.6,92150,POINT(99.34500 7.57167)
Sikhio,สีคิ้ว,Nakhon Ratchasima,14.89167,101.72333,121356,97.3,30140,POINT(101.72333 14.89167)
Sikhoraphum,ศีขรภูมิ,Surin,14.94667,103.79167,138020,245.8,32150,POINT(103.79167 14.94667)
Sila Lat,ศิลาลาด,Sisaket,15.47333,104.07167,20857,158.2,33160,POINT(104.07167 15.47333)
Si Maha Phot,ศรีมหาโพธิ,Prachinburi,13.98306,101.51306,58835,144.5,25140,POINT(101.51306 13.98306)
Si Mahosot,ศรีมโหสถ,Prachinburi,13.88167,101.40667,18137,138.6,25190,POINT(101.40667 13.88167)
Si Mueang Mai,ศรีเมืองใหม่,Ubon Ratchathani,15.49528,105.27861,65443,50.0,34250,POINT(105.27861 15.49528)
Si Nakhon,ศรีนคร,Sukhothai,17.34806,99.99083,27374,88.3,64180,POINT(99.99083 17.34806)
Si Narong,ศรีณรงค์,Surin,14.76694,103.87472,46029,112.3,32150,POINT(103.87472 14.76694)
Mueang Sing Buri,เมืองสิงห์บุรี,Singburi,14.88833,100.40472,58044,516.4,16000,POINT(100.40472 14.88833)
Singhanakhon,สิงหนคร,Songkhla,7.23833,100.55278,79281,347.7,90330,POINT(100.55278 7.23833)
Si Prachan,ศรีประจันต์,Suphanburi,14.61972,100.14444,64995,359.1,72140,POINT(100.14444 14.61972)
Si Racha,ศรีราชา,Chonburi,13.17444,100.93056,167896,272,20110,POINT(100.93056 13.17444)
Si Rattana,ศรีรัตนะ,Sisaket,14.79333,104.46972,51933,219.4,33240,POINT(104.46972 14.79333)
Sirindhorn,สิรินธร,Ubon Ratchathani,15.20167,105.39833,48156,130.2,34350,POINT(105.39833 15.20167)
Mueang Si Sa Ket,เมืองศรีสะเกษ,Sisaket,15.12056,104.32222,135512,233.9,33000,POINT(104.32222 15.12056)
Si Sakhon,ศรีสาคร,Narathiwat,6.23139,101.50000,31576,63.1,96210,POINT(101.50000 6.23139)
Si Samrong,ศรีสำโรง,Sukhothai,17.16472,99.86194,73810,130.5,64120,POINT(99.86194 17.16472)
Si Satchanalai,ศรีสัชนาลัย,Sukhothai,17.51722,99.76028,95198,46.4,64130,POINT(99.76028 17.51722)
Si Sawat,ศรีสวัสดิ์,Kanchanaburi,14.59917,99.11389,23700,7.2,71250,POINT(99.11389 14.59917)
Si Somdet,ศรีสมเด็จ,Roi Et,15.98722,103.51083,37161,170.9,45000,POINT(103.51083 15.98722)
Si Songkhram,ศรีสงคราม,Nakhon Phanom,17.62722,104.25056,65952,98.2,48150,POINT(104.25056 17.62722)
Si That,ศรีธาตุ,Udon Thani,16.97278,103.21667,47888,93.4,41230,POINT(103.21667 16.97278)
Si Thep,ศรีเทพ,Phetchabun,15.45333,101.06722,63300,78.1,67170,POINT(101.06722 15.45333)
Si Wilai,ศรีวิไล,Bueng Kan,18.17667,103.75000,38899,151.5,43210,POINT(103.75000 18.17667)
Soem Ngam,เสริมงาม,Lampang,18.06528,99.24722,32714,51.8,52130,POINT(99.24722 18.06528)
Soeng Sang,เสิงสาง,Nakhon Ratchasima,14.42611,102.46056,68387,53.6,30330,POINT(102.46056 14.42611)
Soi Dao,สอยดาว,Chanthaburi,13.13722,102.21889,62340,85.0,22180,POINT(102.21889 13.13722)
Somdet,สมเด็จ,Kalasin,16.70444,103.75000,61380,135.2,46150,POINT(103.75000 16.70444)
Song,สอง,Phrae,18.47000,100.18333,53687,33.0,54120,POINT(100.18333 18.47000)
Song Dao,ส่องดาว,Sakon Nakhon,17.33500,103.46333,32439,102.1,47190,POINT(103.46333 17.33500)
Mueang Songkhla,เมืองสงขลา,Songkhla,7.20694,100.59639,163072,948.7,90000,POINT(100.59639 7.20694)
Song Khwae,สองแคว,Nan,19.35972,100.70083,11765,22,55160,POINT(100.70083 19.35972)
Song Phi Nong,สองพี่น้อง,Suphanburi,14.22361,100.02111,126905,173.3,72110,POINT(100.02111 14.22361)
So Phisai,โซ่พิสัย,Bueng Kan,18.07833,103.44333,69450,68.6,38170,POINT(103.44333 18.07833)
Sop Moei,สบเมย,Mae Hong Son,17.96194,97.93333,41726,29.5,58110,POINT(97.93333 17.96194)
Sop Prap,สบปราบ,Lampang,17.88083,99.33722,28515,56.8,52170,POINT(99.33722 17.88083)
Srinagarindra,ศรีนครินทร์,Phatthalung,7.57333,99.94167,25412,112.6,93000,POINT(99.94167 7.57333)
Suan Luang,สวนหลวง,Krung Thep Maha Nakhon,13.73028,100.65139,114940,4.854,10250,POINT(100.65139 13.73028)
Suan Phueng,สวนผึ้ง,Ratchaburi,13.54333,99.34000,30252,30.1,70180,POINT(99.34000 13.54333)
Sukhirin,สุคิริน,Narathiwat,5.93889,101.77056,22194,43.3,96190,POINT(101.77056 5.93889)
Mueang Sukhothai,เมืองสุโขทัย,Sukhothai,17.00778,99.82306,106397,185.0,64000,POINT(99.82306 17.00778)
Suk Samran,สุขสำราญ,Ranong,9.34472,98.42944,11046,28.0,85120,POINT(98.42944 9.34472)
Su-ngai Kolok,สุไหงโก-ลก,Narathiwat,6.02944,101.96611,69757,504.4,96120,POINT(101.96611 6.02944)
Su-ngai Padi,สุไหงปาดี,Narathiwat,6.08528,101.88028,54095,145.2,96140,POINT(101.88028 6.08528)
Sung Men,สูงเม่น,Phrae,18.05194,100.11167,80129,213.7,54130,POINT(100.11167 18.05194)
Sung Noen,สูงเนิน,Nakhon Ratchasima,14.90000,101.82167,75990,97.1,30170,POINT(101.82167 14.90000)
Suphan Buri,สุพรรณบุรี,Suphanburi,14.484444,100.123611,158087,292.3,72000,POINT(100.123611 14.484444)
Mueang Surat Thani,เมืองสุราษฎร์ธานี,Surat Thani,9.13639,99.32028,166891,713.8,84100,POINT(99.32028 9.13639)
Mueang Surin,เมืองสุรินทร์,Surin,14.88167,103.49333,257845,281.1,32000,POINT(103.49333 14.88167)
Suwannakhuha,สุวรรณคูหา,Nongbua Lamphu,17.56333,102.27972,66277,102.6,39270,POINT(102.27972 17.56333)
Suwannaphum,สุวรรณภูมิ,Roi Et,15.60917,103.80028,116917,105.6,45130,POINT(103.80028 15.60917)
Mueang Tak,เมืองตาก,Tak,16.88167,99.12361,98493,61.6,63000,POINT(99.12361 16.88167)
Tak Bai,ตากใบ,Narathiwat,6.25889,102.05500,66579,257.5,96110,POINT(102.05500 6.25889)
Tak Fa,ตากฟ้า,Nakhon Sawan,15.34583,100.49472,41192,72.2,60190,POINT(100.49472 15.34583)
Takhli,ตาคลี,Nakhon Sawan,15.26306,100.34361,114912,134.5,60140,POINT(100.34361 15.26306)
Takua Pa,ตะกั่วป่า,Phang Nga,8.86944,98.34306,41240,72.5,82110,POINT(98.34306 8.86944)
Takua Thung,ตะกั่วทุ่ง,Phang Nga,8.39222,98.45194,40392,66.1,82130,POINT(98.45194 8.39222)
Taling Chan,ตลิ่งชัน,Krung Thep Maha Nakhon,13.77694,100.45667,105.202,3536,10170,POINT(100.45667 13.77694)
Tamot,ตะโหมด,Phatthalung,7.34000,100.11167,27982,105.9,93160,POINT(100.11167 7.34000)
Tan Sum,ตาลสุม,Ubon Ratchathani,15.31556,105.15500,31164,62.1,34330,POINT(105.15500 15.31556)
Tao Ngoi,เต่างอย,Sakon Nakhon,16.99667,104.16750,23043,159.0,47260,POINT(104.16750 16.99667)
Taphan Hin,ตะพานหิน,Phichit,16.21500,100.42167,70573,152.1,66110,POINT(100.42167 16.21500)
Ta Phraya,ตาพระยา,Sa Kaeo,14.00611,102.80583,52284,81.4,27180,POINT(102.80583 14.00611)
Tap Khlo,ทับคล้อ,Phichit,16.16167,100.59667,46377,122.6,66150,POINT(100.59667 16.16167)
Tha Bo,ท่าบ่อ,Nong Khai,17.84972,102.58111,84708,238.4,43110,POINT(102.58111 17.84972)
Tha Chana,ท่าชนะ,Surat Thani,9.57222,99.16500,51664,72.6,84170,POINT(99.16500 9.57222)
Tha Chang,ท่าช้าง,Surat,9.280833,99.200833,31013,26.56,84150,POINT(99.200833 9.280833)
Tha Chang,ท่าช้าง,Sing Buri,14.761667,100.39,16257,472,16140,POINT(100.39 14.761667)
Thai Charoen,ไทยเจริญ,Yasothon,16.06306,104.44722,29842,109.7,35120,POINT(104.44722 16.06306)
Thai Mueang,ท้ายเหมือง,Phang Nga,8.40000,98.26167,45547,74.4,82120,POINT(98.26167 8.40000)
Tha Khantho,ท่าคันโท,Kalasin,16.94000,103.24444,37293,94.7,46190,POINT(103.24444 16.94000)
Thalang,ถลาง,Phuket,8.03167,98.33389,75224,298.5,83110,POINT(98.33389 8.03167)
Tha Li,ท่าลี่,Loei,17.62444,101.42139,27117,39.7,42140,POINT(101.42139 17.62444)
Tha Luang,ท่าหลวง,Lopburi,15.06833,101.10694,27996,52.0,15130,POINT(101.10694 15.06833)
Tha Mai,ท่าใหม่,Chanthaburi,12.62083,102.01000,69403,112.1,22120,POINT(102.01000 12.62083)
Tha Maka,ท่ามะกา,Kanchanaburi,13.92083,99.76556,133051,390.4,71120,POINT(99.76556 13.92083)
Tham Phannara,ถ้ำพรรณรา,Nakhon Si Thammarat,8.42000,99.39500,17315,102.4,80260,POINT(99.39500 8.42000)
Tha Muang,ท่าม่วง,Kanchanaburi,13.96667,99.63861,105415,172.5,71110,POINT(99.63861 13.96667)
Than To,ธารโต,Yala,6.16722,101.18000,21323,32.9,95150,POINT(101.18000 6.16722)
Thanyaburi,ธัญบุรี,Pathum Thani,14.02111,100.73444,184597,1447,12110,POINT(100.73444 14.02111)
Tha Phae,ท่าแพ,Satun,6.79000,99.97000,24991,126.7,91150,POINT(99.97000 6.79000)
Tha Pla,ท่าปลา,Uttaradit,17.79306,100.37722,48902,29.1,53150,POINT(100.37722 17.79306)
Thap Put,ทับปุด,Phang Nga,8.51611,98.63972,24046,88.3,82180,POINT(98.63972 8.51611)
Thap Sakae,ทับสะแก,Prachuap Khiri Khan,11.50000,99.62167,47645,88.31,77130,POINT(99.62167 11.50000)
Thap Than,ทัพทัน,Uthai Thani,15.45972,99.88667,38631,119.3,61120,POINT(99.88667 15.45972)
Tha Ruea,ท่าเรือ,Ayutthaya,14.55167,100.72750,48872,460.2,13130,POINT(100.72750 14.55167)
Tha Sae,ท่าแซะ,Chumphon,10.66500,99.17333,76947,51.8,86140,POINT(99.17333 10.66500)
Tha Sala,ท่าศาลา,Nakhon Si Thammarat,8.66667,99.93167,106933,293.9,80160,POINT(99.93167 8.66667)
